epsilon,dp_accuracy,lambda,accuracy,size
0.005,0.2528,0.001,0.69246,400000
0.001,0.09172,0.001,0.69246,400000
1.0,0.6966085212946309,10.0,0.6966085212946309,464809
0.8,0.6966085212946309,10.0,0.6966085212946309,464809
0.5,0.6966085212946309,10.0,0.6966085212946309,464809
0.1,0.696591310035025,10.0,0.6966085212946309,464809
0.08,0.6965827044052219,10.0,0.6966085212946309,464809
0.05,0.6965827044052219,10.0,0.6966085212946309,464809
0.01,0.696651549443646,10.0,0.6966085212946309,464809
0.005,0.6966429438138431,10.0,0.6966085212946309,464809
0.001,0.6969355352271456,10.0,0.6966085212946309,464809
1.0,0.696651549443646,2.0,0.696651549443646,464809
0.8,0.6966429438138431,2.0,0.696651549443646,464809
0.5,0.6966429438138431,2.0,0.696651549443646,464809
0.1,0.6966687607032521,2.0,0.696651549443646,464809
0.08,0.696591310035025,2.0,0.696651549443646,464809
0.05,0.6967117888522671,2.0,0.696651549443646,464809
0.01,0.6965827044052219,2.0,0.696651549443646,464809
0.005,0.6966773663330551,2.0,0.696651549443646,464809
0.001,0.6973141829384784,2.0,0.696651549443646,464809
1.0,0.6966687607032521,1.0,0.696651549443646,464809
0.8,0.6966687607032521,1.0,0.696651549443646,464809
0.5,0.6966687607032521,1.0,0.696651549443646,464809
0.1,0.6967462113714792,1.0,0.696651549443646,464809
0.08,0.6967892395204943,1.0,0.696651549443646,464809
0.05,0.6968236620397064,1.0,0.696651549443646,464809
0.01,0.6967806338906913,1.0,0.696651549443646,464809
0.005,0.696591310035025,1.0,0.696651549443646,464809
0.001,0.6987771400049912,1.0,0.696651549443646,464809
1.0,0.6964966481071917,0.1,0.6965138593667978,464809
0.8,0.6965396762562068,0.1,0.6965138593667978,464809
0.5,0.6965310706264038,0.1,0.6965138593667978,464809
0.1,0.6964019861793586,0.1,0.6965138593667978,464809
0.08,0.6965224649966008,0.1,0.6965138593667978,464809
0.05,0.6967031832224642,0.1,0.6965138593667978,464809
0.01,0.6961524229150711,0.1,0.6965138593667978,464809
0.005,0.6960577609872378,0.1,0.6965138593667978,464809
